studyName,studyFullName,studyCategoryId,studyCategory,studyDetail,studyStatus,studyType,startYear,endYear,sponsorName,studyDesign,noOfCountries,noOfSites,noOfParticipants
PCIMT,,22,Other,,New,,,,,,,30,600
PHASE,Pilot Trial of Hemodialyis patients undergoing Aldosterone antagoniSm with Eplerenone (PHASE),1,Renal,"To determine the tolerability of eplerenone in patients with ESRD requiring dialysis.
",Publication,Interventional - Drug,2012,2014,,,1,5,152
PHASE -2 Registry ,Protection of the Heart with Aldostrone antagonism in End stage renal disease ,1,Renal,Prospective registry that will collect and record basic demographic and clinical information on dialysis patients interested in participating in future randomized controlled trials,Publication,Observational - Registry,2014,2016,PHRI,,5,54,5066
PHASE STUDY,,,,,,,,,,,,,
PIAAF SCREEN-AF,Program for Identification of “Actionable” Atrial Fibrillation (PIAAF): Home-Based Screening for Early Detection of Atrial Fibrillation in Primary Care Patients Aged 75 Years and Older: the SCREEN-AF Randomized Tria,5,Arrhythmia,"To offer patients new technologies to detect AF using a wearable ECG patch and a blood pressure machine that has the ability to detect AF. The aim is to establish a practical and cost-effective screening strategy that could be easily applied in primary care for early detection and treatment of AF. The SCREEN-AF trial is a Canadian multicenter study of atrial fibrillation (AF) screening being conducted in a home based setting.

The primary outcome will be the new diagnosis of ECG-confirmed atrial fibrillation or flutter within 6 months post randomization.
",Publication,Interventional - Device,2015,2019,PHRI,,2,32,856
PIAAF-Family Practice,Program for the Identification of “Actionable” Atrial Fibrillation in the Family Practice Setting,5,Arrhythmia,"To find Atrial Fibrillation (AF) among patients 65 years of age or older, a family practice based screening program that will be implemented using three simple methodsâ€“ manual pulse check, single lead handheld ECG and blood pressure machine with automated AF detection algorithms.

Primary outcomes will be sensitivity, specificity, positive likelihood ratio and negative likelihood ratio of each screening test in the Family Practice setting. Secondary outcomes will look at the cost effectiveness of screening, OAC prescription rates, risk factors and user feedback from the screening tools
",Publication,Interventional - Device,2015,2016,PHRI,,1,22,2171
PIAAF-Pharmacy,Program for the Identification of “Actionable” Atrial Fibrillation in the Pharmacy Setting: The PIAAF-Pharmacy Study,5,Arrhythmia,"To determine the prevalence of actionable AF defined as those with (i) previously unrecognized AF and (ii) those with AF but suboptimal anticoagulation therapy through pharmacy-led screening. PIAAF-Pharmacy is a Canadian multicenter study of atrial fibrillation (AF) screening in the community using a novel single-lead ECG device of participants aged 65 and older. 

The primary outcome will be to determine the prevalence of â€œactionableâ€ AF in the community through pharmacy- led screening using a handheld ECG device.",Publication,Observational,2014,2015,PHRI,,1,30,1137
PICS,Prevention of Infections in Cardiac Surgery (PICS): a cluster-randomized factorial cross-over trial,17,Cardiac Surgery,"Multi-center, factorial, cluster crossover study. Centers will be randomized to one of eight orders of the four study arms: a) cefazolin short-term, b) cefazolin long-term, c) cefazolin plus vancomycin short-term and d) cefazolin plus vancomycin long-term. Each study arm will be implemented for 6 months, and the strategy will become standard of care for all patients undergoing cardiac surgery during that time period. A wash-in period of one month prior to each arm will allow for the transition in management strategies. The primary goal is to determine the effects of dual antibiotic prophylaxis and of different durations of post-operative antibiotic prophylaxis on sternal surgical site infections in patients undergoing cardiac surgery.",New,Observational,2024,2028,PHRI,,,20,38400
PLAN,,,,,,,,,,,,,
PLAN Pilot,Pregabalin and Lidocaine in breast cancer surgery to Alter Neuropathic pain (PLAN): A Pilot Trial,9,Perioperative,"To assess the impact of an intraoperative intravenous lidocaine infusion and perioperative oral pregabalin to prevent the development of post-mastectomy pain syndrome

1) Determine among patients undergoing breast cancer surgery: 1. the feasibility of recruiting patients into a larger factorial randomized controlled trial (RCT) of intraoperative intravenous lidocaine infusion (IILI) vs. placebo and perioperative pregabalin vs. placebo for the prevention of post-mastectomy pain syndrome; 2. the time, resources, and management issues related to conducting a larger trial; and 3. Clinical site compliance with trial protocol. 2) Determine the impact of an IILI and perioperative oral pregabalin in breast cancer surgery on: acute postoperative NRS pain scores and 24 hour morphine-equivalent opioid consumption for the first three days after surgery; length of hospital stay; post-mastectomy pain syndrome (PMPS) at 3 months after surgery; and scores on the SF-MPQ-2, BPI, and SF-36 at 3 months after surgery.
",Publication,Interventional - Drug,2014,2016,PHRI,,1,2,100
POISE,Perioperative Ischemic Evaluation Trial,9,Perioperative,"To evaluate the effects of metoprolol (a beta-blocker drug) on the prevention heart attacks and deaths around the time of noncardiac surgery. POISE is one of the largest trials in perioperative medicine and has had a significant impact on guidelines and patterns of practice.

Major cardiovascular events (defined as cardiovascular death, nonfatal myocardial infarction, or nonfatal cardiac arrest); Secondary endpoints: Clinically significant atrial fibrillation re-hospitalization for cardiac reasons. Nonfatal myocardial infarction. Nonfatal cardiac arrest. Cardiovascular death. Total mortality. Revascularization procedures (i.e. coronary artery bypass surgery and percutaneous transluminal coronary angioplasty). Congestive heart failure. Clinically significant bradycardia. Clinically significant hypotension. Nonfatal stroke. All primary and secondary events were adjudicated.
",Publication,Interventional - Drug,2002,2007,PHRI,,23,190,8351
POISE - 2,Perioperative Ischemic Evaluation-2 Trial,9,Perioperative,"To determine the impact of clonidine versus placebo and ASA versus placebo on the 30-day risk of all-cause mortality or nonfatal myocardial infarction in patients with, or at risk of, atherosclerotic disease who are undergoing noncardiac surgery. Patients in the POISE-2 trial will be randomly assigned to one of four groups: ASA and Clonidine together, ASA and Clonidine placebo, ASA placebo and Clonidine, or a ASA placebo and Clonidine placebo. Research personnel will follow patients at 30 days post-randomization and 1 year post-randomization.
Composite of all-cause mortality and nonfatal MI at 30 days after randomization
",Publication,Interventional - Drug,2010,2014,PHRI,,23,135,10010
POISE - 3 Pilot,PeriOperative Ischemic Evaluation-3 pilot Trial,9,Perioperative,"We want to undertake a large international factorial RCT to establish the effects of rosuvastatin versus placebo and tranexamic acid versus placebo in patients undergoing noncardiac surgery (i.e. the POISE-3 Trial). Prior to undertaking a large international trial, we first need to undertake a pilot to establish the feasibility of such an RCT.

To determine the feasibility and the resource requirements of a trial of rosuvastatin versus placebo and tranexamic acid versus placebo; and to determine the feasibility of administering perioperative rosuvastatin and TXA in patients with, or at risk of, atherosclerotic disease who are undergoing noncardiac surgery.
",Publication,Interventional - Drug,2015,2015,PHRI,,1,2,100
POISE 3 MAIN STUDY,,,,,,,,,,,,,
